"Title","Organisation","Synopsis","Programme","Specific objective","Group(s) targeted","Geographical area","Region","Total Operation Cost at approval","Total ESF at approval"
"Agile Nation 2 ","Chwarae Teg ","
Promote gender equality, career advancement and contribute to the reduction of the pay gap in the labour market. 
 Deliver skills support and mentoring for women in employment enabling them to progress in employment fully utilising their skills. 
 Deliver activities for employers focussing on gender disadvantage in the workforce & modern working practices fostering the promotion of diversity in workforce development. 
","ESF","SO3: To improve the position of women in the workforce ","Females/males in non-traditional sectors; women in growth sectors where they are under-represented in the workforce and in senior management roles. ","East Wales ","East Wales ","£2m ","£1.5m "
"Apprenticeships ","Welsh Government ","To provide an increased number of opportunities for those of working age to acquire skills at least at intermediate level across the range of vocational sector. ","ESF","SO2.2: To increase the number of people in the workforce with technical and job specific skills at an intermediate level and higher level. ","
 Employed, including self employed participants whose highest qualification is at lower secondary level. 
 Employed, including self employed participants whose highest qualification is at higher secondary level and above.","West Wales and the Valleys ","West Wales and the Valleys ","£78.4m ","£40.7m "
"Apprenticeships East Wales ","Welsh Government ","To provide an increased number of opportunities for those of working age to acquire skills at least at intermediate level across the range of vocational sector. ","ESF","SO2.2: To increase the number of people in the workforce with technical and job specific skills at an intermediate level and higher level. ","
 Employed, including self employed participants whose highest qualification is at lower secondary level. 
 Employed, including self employed participants whose highest qualification is at higher secondary level and above. 
","East Wales ","East Wales ","£76.6m ","£5.7m "
"Apprenticeships Skills Enhancement Programme I ","Welsh Government ","To provide an increased number of opportunities for those of working age to acquire skills at least at intermediate level across the range of vocational sector. ","ESF","SO2.1: Employed individuals with no skills progressing to ISCED level 1; Employed individuals with skills at ISCED level 1 progressing to ISCED level 2 ","
 Employed, including self employed participants whose highest qualification is at lower secondary level. 
 Employed, including self employed participants whose highest qualification is at higher secondary level and above. 
","West Wales and the Valleys ","West Wales and the Valleys ","£65.7m ","£32.2m "
"Apprenticeships Skills Enhancement Programme I East Wales ","Welsh Government ","To provide an increased number of opportunities for those of working age to acquire skills at least at intermediate level across the range of vocational sector. ","ESF","SO2.1: Employed individuals with no skills progressing to ISCED level 1; Employed individuals with skills at ISCED level 1 progressing to ISCED level 2 ","
 Employed, including self employed participants whose highest qualification is at lower secondary level. 
 Employed, including self employed participants whose highest qualification is at higher secondary level and above. 
","East Wales ","East Wales ","£63.9m ","£4.8m "
"Welsh Financial Sector Graduate Programme ","Welsh Contact Centre Forum Ltd ","A collaborative sector specific operation in partnership with employers, Welsh Government and HE, unique to Wales, providing 40 graduate level participants with a 2 year development programme combining job specific, technical work experience, employability skills, project work and academic study leading to a Masters in Financial Services Management qualification. The operation aims to accelerate career progress and develop future managers and leaders. 
This operation will encompass a “learn – apply” approach delivering skills required by employers in order to compete and achieve future growth and potentially differentiate Wales as a centre of excellence in financial services innovation. The operation will deliver 2 programmes over a 4 year period. ","ESF","SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with up to and including a higher secondary education. ","East Wales ","East Wales ","£3.6m ","£1.4m "
"Working Skills For Adults II ","Torfaen County Borough Council ","The Operation aims to target employed individuals outside of their employment context, supporting those unwilling to admit skills deficits to their employers or whose employers fail to engage. ","ESF","SO1: To increase the skills levels, including work relevant skills, of those in the workforce with no or low skills. ","Employed individuals with no skills progressing to ISCED level 1; Employed individuals with skills at ISCED level 1 progressing to ISCED level 2 ","West Wales and the Valleys ","West Wales and the Valleys ","£3.8m ","£2.7m "
"ION Leadership (Leading Business Growth) WWV ","Swansea University ","The provision of higher level vocational and professional skills at ISCED Level 3 to 7 based on the highly successful LEAD & Leading Growth programmes, to organisation leaders through development interventions and programmes. The programme will be delivered in collaboration with 20Twenty at Cardiff Metropolitan University in East Wales. ","ESF","SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with up to and including a higher secondary education. ","West Wales and the Valleys ","West Wales and the Valleys ","£4m ","£2.7m "
"Materials and Manufacturing Academy ","Swansea University ","The Materials Academy is a demand led, multi-level, flexible, research & training project with an existing track-record and long standing industrial relationships. The Materials Academy will continue to provide industry with training at level 4 - 7 and will expand its activities to better meet the growing needs of industry. ","ESF","SO3 ","Participants with a graduate degree or equivalent. 
Enterprises who collaborate with learning providers in research and innovation activities. ","West Wales and the Valleys ","West Wales and the Valleys ","£13.8m ","£8.6m "
"GWLAD ","University of Wales","Develop and deliver an integrated bilingual Professional Practice Framework with employers in south west and central Wales in response to their intermediate and higher skills needs. This will incorporate accreditation of staff development programmes, prior experiential learning and delivery of an extensive range of modules leading to qualifications in Professional Practice. ","ESF","Specific Objective 2: 
To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level ","Employed, including self-employed participants with up to and including a lower secondary education. 
Employed, including self-employed participants with up to and including a higher secondary education. ","South West and Central Wales ","West Wales and the Valleys ","£3.7m ","£2.4m "
"MeTAL 2 ","Swansea University ","Building on the success of METaL, this project will increase the skills level in industry focussing on the key growth area of Advanced Materials and Manufacturing (AM&M). This will be achieved through delivery of demand led accredited STEM courses developed with industry to satisfy technical skills shortages. ","ESF","SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with up to and including lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","West Wales and the Valleys ","West Wales and the Valleys ","£1.5m ","£1.1m "
"SEE (Skills for Employers and Employees) WWV ","Coleg Cambria ","To provide training to upskill the workforce in North West region, targeting key sectors and providing skills required by industry. Training to be delivered on employers premises or at a convenient community location (mitigating against difficulties in releasing employees for training, a significant barrier to the delivery of training). ","ESF","SO1: To increase the skills levels including work relevant skills of those in the workforce with no or low skills; 
SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate level. ","Employed, including self-employed participants with up to and including a lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","North West Wales ","North West Wales ","£10.6m ","£7.7m "
"SEE (Skills for Employers and Employees) EW ","Coleg Cambria ","To provide training to upskill the workforce in North East region, targeting key sectors and providing skills required by industry. Training to be delivered on employers premises or at a convenient community location (mitigating against difficulties in releasing employees for training, a significant barrier to the delivery of training). ","ESF","SO1: To increase the skills levels including work relevant skills of those in the workforce with no or low skills; 
SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate level. ","Employed, including self-employed participants with up to and including a lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","North East Wales ","North East Wales ","£5.6m ","£2.7m "
"KESS II ","Bangor University ","The aim of KESS II is to promote higher level / innovation skills to increase Research and Innovation within the workplace for SMEs including micro companies. The project will deliver a range of collaborative Research Masters and Doctoral level opportunities within Universities and companies in the West Wales and the Valleys area. ","ESF","SO3 ","Participants with a graduate degree or equivalent. 
Enterprises who collaborate with learning providers in research and 
innovation activities. ","West Wales and the Valleys ","West Wales and the Valleys ","£36m ","£25.9m "
"Skills for Industry 2 ","Gower College Swansea ","The operation will provide a strategic approach to the delivery of workforce development raising skill levels and tackling skills gaps and shortages by providing lower skilled workers with vocational skills and qualifications and supporting demand led provision across a variety of occupational sectors across South West and Central Wales ","ESF","SO1: To increase the skills levels, including work relevant skills, of those in the workforce with no or low skills; 
SO2: To increase the number of people in the workforce with technical and job specific skills at an intermediate level. ","Employed individuals with no skills progressing to ISCED level 1; Employed individuals with skills at ISCED level 1 progressing to ISCED level 2; 
Employed, including self-employed participants with up to and including a lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","South West and Central Wales ","South West and Central Wales ","£16.8m ","£11.8m "
"Upskilling@Work WWV ","Coleg y Cymoedd ","Provide a strategic approach to the delivery of workforce development raising skill levels and tackling skills gaps and shortages by supporting demand led provision across a variety of occupational sectors across the south east section of the West Wales & the Valleys area. Using Local Market intelligence from FEI’s in collaboration with the South East Wales Learning Skills & Innovation Partnership (LSKIP), ESF Priority 2 sub-groups, the FE Tri-Regional HE Network to enable employed individuals to access training and development activities developed to be a driver of productivity and growth and aid employment opportunities, leading to a certified outcome at Level 3 to Level 5 across identified sectors. All qualifications will be accredited with Ofqual. The delivery of qualifications will take place in the workplace, on-line and specialist centres where appropriate. The content will be tailored to the needs and requirements of the employer and build upon the experience and skills of the participant. It is the aim of the proposal that the Operation will become the primary vehicle for the delivery of skills for growth to meet industry demands within the region. ","ESF","Specific Objective 1: To increase the skills level, including work relevant skills of those in the workforce with no or low skills; 
Specific Objective 2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with no formal qualification. Employed, including self-employed participants with qualification up to and including level 2. Employed, including self-employed participants with up to and including a lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","South East Wales ","South East Wales ","£9.3m ","£6.2m "
"Upskilling@Work EW ","Coleg Gwent ","Provide a strategic approach to the delivery of workforce development raising skill levels and tackling skills gaps and shortages by supporting demand led provision across a variety of occupational sectors across the south east section of the West Wales and the Valleys area. Using Local Market intelligence from FEI’s in collaboration with the South East Wales Learning Skills & Innovation Partnership (LSKIP), ESF Priority 2 sub-groups, the FE Tri-Regional HE Network to enable employed individuals to access training and development activities developed to be a driver of productivity and growth and aid employment opportunities, leading to a certified outcome at Level 3 to Level 5 across identified sectors. All qualifications will be accredited with Ofqual. The delivery of qualifications will take place in the workplace, on-line and specialist centres where appropriate. The content will be tailored to the needs and requirements of the employer and build upon the experience and skills of the participant. It is the aim of the proposal that the Operation will become the primary vehicle for the delivery of skills for growth to meet industry demands within the region. ","ESF","Specific Objective 1: To increase the skills level, including work relevant skills of those in the workforce with no or low skills; 
Specific Objective 2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with no formal qualification. Employed, including self-employed participants with qualification up to and including level 2. Employed, including self-employed participants with up to and including a lower secondary education. Employed, including self-employed participants with up to and including a higher secondary education. ","South East Wales ","South East Wales ","£9.5m ","£4.6m "
"Leading Business Growth East Wales ","Cardiff Metropolitan University ","The provision of higher level vocational and professional skills at ISCED Level 3 to 7 based on the highly successful LEAD & Leading Growth programmes, to organisation leaders through development interventions and programmes. The programme will be delivered in collaboration with 20Twenty at Cardiff Metropolitan University in East Wales. ","ESF","Specific Objective 2: To increase the number of people in the workforce with technical and job specific skills at an intermediate and higher level. ","Employed, including self-employed participants with up to and including a higher secondary education. ","East Wales ","East Wales ","£4.1m ","£2.4m "
"Jobs Growth Wales ","Department for Education & Skills (Welsh Government) ","The operation is aimed at unemployed young people aged 16-24, giving them valuable work experience for a 6 month period paid at or above National Minimum Wage between 25 and 40 hours per week ","ESF","SO1: To reduce the number of 16-24 year olds who are Not in Employment Education or Training (NEET). ","16-24 year olds who are unemployed not on the DWP’s Work Programme, that are work ready and have completed all relevant training but have failed to secure employment as they lack work experience. ","West Wales and the Valleys and East Wales ","West Wales and the Valleys and East Wales ","£52.9m ","£25m"
"Traineeships ","Department for Education and Skills (Welsh Government) ","To provide vocationally based learning for 16-18 year olds who are NEET. ","ESF","SO1: To reduce the number of 16-24 year olds who are Not in Employment, Education or Training (NEET) ","Young people 16-18 years of age who are NEET. 
Those that have left compulsory education, who are undecided on a post 16 learning opportunity and/or do not have the skills and aptitudes to secure employment. ","West Wales and the Valleys & East Wales ","West Wales and the Valleys & East Wales ","£89.2m","£27.9m "
"Stem Cymru 2 ","Engineering Education Scheme Wales Ltd. ","The Operation will offer a progressive series of exciting and motivating interventions to increase the take up of and attainment levels in STEM subjects amongst 11-19 year olds. ","ESF","SO3: To increase the take up of and attainment levels in STEM subjects amongst 11-19 year olds. ","
 Young people aged 11-14 prior to their GCSE choices 
 Young people aged 15-16 prior to their Level 3 choices 
 Young people aged 17-19 prior to their further or higher education choices 
 Females aged 11-19 at all key stages of education 
","West Wales and the Valleys ","West Wales and the Valleys ","£2.1m ","£1.7m "
"Communities4Work ","Welsh Government, Department for Local Government and Communities ","Communities4Work is a major development of the Welsh Government’s Communities First Programme to tackle poverty, co-sponsored by Department for Work and Pensions. 
The proposal provides an opportunity to deliver creative and innovative models of intensive mentoring and employment support, for 16-24 year olds who are Not in Employment Education or Training engaging and supporting them into work and/or training. ","ESF","Specific Objective 1: 
To reduce the number of 16-24 year olds who are Not in Employment Education or Training (NEET) ","C4W will engage 16-24 year old NEETS living within eligible Communities First funded areas who are disadvantaged and disengaged with ‘mainstream services’, economically inactive, or dependant on welfare benefits including:- 
lone parents ;parents from workless house holds; those with work limiting health conditions; those furthest removed from the labour market; those lacking in skills or no skills; those who have restricted or no access to IT services; those from BME communities ","West Wales and the Valleys and East Wales ","West Wales and the Valleys and East Wales ","£11.2m","£6.8m"
"Progress for Success (PfS) ","Department for Education and Public Services ","The programme will raise the quality of the Early Years, Childcare and Play workforce by increasing the levels of relevant childcare qualifications held by the existing workforce within both the maintained and non-maintained sectors. The main focus will be on up-skilling Childcare and Play sector workers up to the proposed ‘ideal benchmark’ of Level 3; a smaller proportion of childcare workers will be up-skilled to Levels 5 and/or 6. ","ESF","SO4 ","Childcare and Play sector workers ","West Wales and the Valleys ","West Wales and the Valleys ","£6.3m ","£4.1m "
"TRAC 11-24 ","Denbighshire County Council ","North Wales Local Authorities led project supporting young people aged 11-19 disengaging with education, and at risk of becoming NEET. ASPIRE will improve attainment and will support the development of an appropriately skilled, agile and resilient workforce. The project is consistent with the six aspects of the Youth Engagement and Progression Framework. ","ESF","Specific Objective 2 
To reduce the number of those at risk becoming NEET amongst 11-24 year olds ","The specific group targeted will be Young People 11-19 within an educational provision (including Pupil Referral Units and home schooled pupils), and identified as being at highest risk of becoming NEET. ","West Wales and the Valleys and East Wales ","North West Wales (Anglesey, Gwynedd, Conwy and Denbighshire) 
East Wales (Wrexham, Flintshire) ","£18.1m ","£11.5m "
"Inspire 2 Achieve WWV ","Blaenau Gwent County Borough Council (West Wales & the Valleys) ","To provide one to one and group tailored support for young people aged 11-24 to address and overcome their barriers. Young people will increase their self esteem, develop soft skills and gain qualifications to enable them to enter further learning, training and/or employment. ","ESF","Specific Objective 2 
To reduce the number of those at risk becoming NEET amongst 11-24 year olds ","Participants most at risk of becoming NEET (11-24): 
11-16 year olds: Identify young people though Local Authority Early Identification processes as part of the Youth Engagement and Progression Framework. 
16-18 year olds: Identify young people through the Welsh Government Wales 5 tier model, who are at risk at becoming NEET and are in Tier 1 (unknowns) and 4. 
19-24 Vulnerable groups (e.g. BME, ESOL, ALN, young carers, young parents, homeless, pregnant, care leavers, young offenders) identified through partnership forums in Local authorities including statutory, voluntary and third sector. ","West Wales and the Valleys ","Blaenau Gwent, Bridgend, Caerphilly, Merthyr Tydfil, Rhondda Cynon Taff, Torfaen, Neath Port Talbot ","£18.9m ","£14m "
"Inspire 2 Achieve EW ","Newport City Council (East Wales) ","To provide one to one and group tailored support for young people aged 11-24 to address and overcome their barriers. Young people will increase their self esteem, develop soft skills and gain qualifications to enable them to enter further learning, training and/or employment. ","ESF","Specific Objective 2 
To reduce the number of those at risk becoming NEET amongst 11-24 year olds ","Participants most at risk of becoming NEET (11-24): 
11-16 year olds: Identify young people though Local Authority Early Identification processes as part of the Youth Engagement and Progression Framework. 
16-18 year olds: Identify young people through the Welsh Government Wales 5 tier model, who are at risk at becoming NEET and are in Tier 1 (unknowns) and 4. 
19-24 Vulnerable groups (e.g. BME, ESOL, ALN, young carers, young parents, homeless, pregnant, care leavers, young offenders) identified through partnership forums in Local authorities including statutory, voluntary and third sector. ","East Wales ","South East Wales (Blaenau Gwent, Bridgend, Caerphilly, Merthyr Tydfil, Rhondda Cynon Taff, Torfaen, Cardiff, Monmouthshire, Newport and the Vale of Glamorgan) ","£9.2m ","£4.2m "
"Parent, Childcare and Employment (PaCE) ","Welsh Government – Department for Local Government and Communities ","The Operation will help economically inactive parents aged 16 to 24 into sustainable work, where childcare is their main barrier. The operation aims to provide solutions to overcome their childcare barriers to enable the parent to prepare for and access employment opportunities. Parents will receive individualised help via a Parent Employment Adviser in their local community. ","ESF","Specific Objective 1: 
To reduce the number of 16-24 year olds who are Not in Employment Education or Training (NEET) ","Economically inactive:- 
a) Lone parents aged 16-24 
b) Couple parent aged 16-24– workless household 
c) Couple parent aged 16-24– one parent working 
","West Wales and the Valleys and East Wales ","West Wales and the Valleys and East Wales ","£2.7m ","£1.7m "
"Aberystwyth Innovation and Enterprise Campus (AIEC) ","Aberystwyth University & Biotechnology and Biological Sciences Research Council (BBSRC) ","The overall aim of the AIEC is to serve as a platform to develop and evaluate new plant, microbial and animal production systems and increase research and innovation capacity in Wales. The infrastructure, facilities, advanced technology expertise will also help businesses translate innovations and investments in basic plant science, food supply chain, nutrition and environmental research into new products, processes and services. ","ERDF","SO1.1: To increase the success of Welsh research institutions in attracting competitive and private research funding. ","SME’s and Research Institutes ","West Wales and the Valleys ","West Wales and the Valleys ","£35.5m ","£20m "
"SMART Innovation ","Department for Economy, Science and Transport (Welsh Government) ","The SMART Innovation operation will provide Pan Wales support for innovation and commercialisation in the form of specialist advice for SMEs and large companies. 
The operation will fund: 
-Innovation Specialists to provide technical support 
-Intellectual Property advisors 
-Manufacturing and Design Advisors (procured via a framework consultancy model) 
-Collaboration with the National Institute for Social Care and Health Research to facilitate the commercialisation of IP from the health service 
-Open Innovation activity focusing on developing R&D collaboration opportunities between Welsh SMEs, academia and Anchor companies. 
-A Commercialisation Manager, who will be closely aligned to the Open Innovation activity. 
-Innovation Specialists will link closely with academic institutions and develop collaborative projects with businesses and related academic departments. 
The operation represents the Welsh Government’s core support for innovation and commercialisation. It links very closely with ES&T’s SMART Cymru and SMART Expertise operations. ","ERDF","SO1.2: To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs ","SMEs and large enterprises ","Pan Wales ","West Wales and the Valleys & East Wales ","£19.7m","£11.6m"
"Cardiff University Brain Research and Imaging Centre II (CUBRIC II) ","Cardiff University ","CUBRIC’s vision is to understand variation in brain and behaviour in health and disease by developing advanced imaging methods that reveal specific, biologically informative features of brain structure and function. 
CUBRIC has outgrown its current physical space and imaging capacity and needs to move and expand to develop and meet the demand for further research. There is a CU proposal for CUBRIC to be relocated and significantly expanded on the Research, Innovation & Enterprise Park (Maindy Road site development). The new development will provide: 
- World-class imaging capacity / facilities 
- Hospital-standard clinical suite for patient research and clinical trials 
- Laboratory suites 
- Office space for people / students, with Hot-desking for researchers / external collaborator visitors ","ERDF","SO1.1: To increase the success of Welsh research institutions in attracting competitive and private research funding. ","Researchers and Industrial Partners ","South East Wales (Cardiff) ","East Wales ","£16.2m ","£4.6m "
"SMART Cymru ","Department for Economy, Science and Transport (Welsh Government) ","The SMART Cymru operation is a grant scheme. It offers Pan Wales support for businesses at different stages of the RD&I process including:- 
Technical and Commercial Feasibility (TCF) – to investigate and assess technological & commercial viability of innovative ideas for products, processes or technologies 
Industrial Research (IR) – to research and acquire new knowledge to facilitate the development of new products, processes or technologies, or significant improvement of existing ones 
Experimental Development (ED) - to implement the results of industrial research for the development of new products, processes or technologies eg pre production prototype 
Exploitation - to assist exploitation costs of a new product or process (developed in an earlier SMART Cymru phase) eg trade fairs and product certification. 
Innovation Vouchers providing capital and revenue funding. 
It represents the Welsh Government’s core support for RD&I, and operates alongside other Welsh Government operations such as SMART Innovation and SMART Expertise. ","ERDF","SO1.2: To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs ","SME’s and Large Enterprises ","Pan Wales ","West Wales and the Valleys & East Wales ","£63m ","£27m "
"SMART Expertise ","Department for Economy, Science and Transport (Welsh Government) ","SMART Expertise will offer a pan-Wales grants scheme via Higher and Further education Institutions, primarily designed to: 
- Strengthen the capacity and expertise of HE/FE institutions to develop research excellence in areas identified under smart specialisation, and 
- Promote increased engagement and knowledge transfer between HE/FE institutions and Welsh industry (SMEs and large enterprises), where there are common aims and a clear business pull / industrial need for the technology, product or process. 
SMART Expertise forms one of three Welsh Government operations along with SMART Cymru and SMART Innovation, which form the core support for RD&I. ","ERDF","SO1.1: To increase the success of Welsh research institutions in attracting competitive and private research funding. 
SO1.2: To increase the successful translation of research and innovation processes into new and improved commercial products, processes and services, in particular through improved technology transfer from HEIs ","HE / FE Institutions and Welsh Industry (SME’s and large enterprises) ","Pan Wales ","West Wales and the Valleys & East Wales ","£51m ","£30m "
