"PRIORITY","PROJECT TITLE","LEAD APPLICANT","Approved Total Eligible Expenditure Figure","IN PRINCIPLE TOTAL GRANT (£)"
"P2","Green Tourism Initiatives for Business Growth","VisitScotland","340,631","121,444"
"P2","Business Gateway Plus","West Dunbartonshire Council","556,268","194,693"
"P2","Business Gateway Plus - South East Scotland","West Lothian Council","1,632,364","649,360"
"P2","West Lothian Economic Growth Project","West Lothian Council","609,317","243,727"
"P2","Business Gateway Plus SE Scotland","West Lothian Council","3,747,801","1,499,121"
"P2","West of Scotland Loan Fund (Gap Funding for SME's)","West of Scotland Loan Fund Ltd","15,000,000","6,000,000"
"P3","Edinburgh Partnership Competitive Communities ERDF pilot programme","City of Edinburgh Council","1,915,912","760,399"
"P3","OPTIONS - Clackmannanshire Community Planning Partnership","Clackmannanshire Council","275,187","110,075"
"P3","Clackmannanshire Works 2011 ERDF","Clackmannanshire Council","795,792","318,317"
"P3","Rutherglen Low Carbon Zone","Clyde Gateway URC","8,261,320","2,546,291"
"P3","Clyde Gateway - SME Business HUB Bridgeton","Clyde Gateway URC","3,963,357","1,349,566"
"P3","CLYDE GATEWAY - SME BUSINESS HUB RUTHERGLEN","Clyde Gateway URC","1,561,592","624,637"
"P3","Shawfield - Dalmarnock 'Smart Bridge'","Clyde Gateway URC","5,085,522","1,897,920"
"P3","Clyde Gateway Sustainable Transport Project - Connectivity","Clyde Gateway URC","1,047,500","419,000"
"P3","National Business District - Shawfield","Clyde Gateway URC","14,929,000","5,971,600"
"P3","Coatbridge College Campus Enhancement","Coatbridge College","4,277,337","1,277,337"
"P3","Lochee Integrated Transport Hub","Dundee City Council","450,000","180,000"
"P3","Dundee European Programme","Dundee City Council","1,713,200","630,256"
"P3","Dundee Integrated Transport Hub","Dundee City Council","5,841,450","2,044,500"
"P3","Dundee European Programme ERDF Job Brokerage","Dundee City Council","365,993","146,298"
"P3","Incubation@D&A","Dundee College","1,613,542","645,417"
"P3","Dundee Renewables Training Tower","Dundee College","2,044,821","817,928"
"P3","East Ayrshire CPP - Improving Opportunities ERDF","East Ayrshire Council","1,088,943","435,577"
"P3","Make It Kilmarnock - Moorfield","East Ayrshire Council","5,444,000","2,244,000"
"P3","East Ayrshire Works Job Brokerage","East Ayrshire Council","754,920","301,968"
"P3","Fife Energy Zone - Methil Low Carbon Investment Park","Fife Council","2,684,030","860,824"
"P3","Tackling Worklessness in Fife","Fife Council for Fife Community Planning Partnership","4,164,504","1,655,442"
"P3","Glasgow's Employer Engagement Team","Glasgow City Council","1,847,014","738,805"
"P3","Glasgow Works II","Glasgow Community Planning Ltd","2,560,382","684,830"
"P3","Fairfield Business Premises","Govan Workspace Ltd","4,182,625","1,571,804"
"P3","Inverclyde Integrated Employability Programme","Inverclyde Council","836,252","329,848"
"P3","Inverclyde ERDF Integrated Employability Programme (2)","Inverclyde Council","932,346","372,932"
"P3","I3 Irvine Innovation and Industry","Irvine Bay Developments Ltd","4,500,000","1,575,000"
"P3","Ardrossan Quayside","Irvine Bay Developments Ltd","1,173,000","463,000"
"P3","South West Glasgow Employability Centre Cluster","Jobs & Business Glasgow","221,680","88,672"
"P3","Saracen Exchange","Jobs & Business Glasgow","2,534,754","908,520"
"P3","The Experience at Hillington - Young Scotland at Work","Kibbleworks","1,025,000","410,000"
"P3","Maryhill Burgh Halls","Maryhill Burgh Halls Trust","4,230,296","1,330,607"
"P3","North Ayrshire Employability Continuum ERDF Aspect - Revenue","North Ayrshire Council","1,835,744","642,510"
"P3","North Ayrshire Employability Pathway - Job Brokerage","North Ayrshire Council","1,538,595","615,438"
"P3","North Lanarkshire CPP ERDF Bid","North Lanarkshire Council","10,012,255","3,960,328"
"P3","North Lanarkshire CPP ERDF Phase 3","North Lanarkshire Council","5,270,106","2,108,042"
"P3","Cardenden Heat & Power (CHAP)","Ore Valley Housing Association","12,300,000","3,734,674"
"P3","Renfrewshire's Access To Employment (RATE) Programme","Renfrewshire Council","2,151,709","854,588"
"P3","Creative Sector Incubator Unit","Scottish Enterprise","800,000","300,000"
"P3","SEStran Regional RTPI System - West Lothian","SEStran","866,667","346,667"
"P3","Support for enterprise and growth","South Lanarkshire College","2,100,000","700,000"
"P3","South Lanarkshire CPP","South Lanarkshire Community Planning Partnership","4,342,655","1,601,645"
"P3","Burgh Business Centre","South Lanarkshire Council","1,615,500","644,454"
"P3","CIO - Job Brokerage Initiative","South Lanarkshire Council","1,982,500","793,000"
"P3","FASTLINK: Bus Rapid Transit (BRT) Delivering Growth","Strathclyde Partnership for Transport","9,999,950","3,999,950"
"P3","Redevelopment of Dalmarnock Rail Station","Strathclyde Partnership for Transport","8,859,500","2,859,500"
"P3","Revitalising Subway Stations: A Catalyst for Regeneration","Strathclyde Partnership for Transport","3,002,709","1,200,709"
"P3","JESSICA Scotland - Holding Fund","The Scottish Government","50,000,000","24,000,000"
"P3","Merchant City Cultural and Creative Industries Hub Programmes","The Wasps Trust","2,680,650","500,000"
"P3","Halbeath Transport Hub","Transport Scotland","5,937,605","2,367,605"
"P3","West Dunbartonshire Employability Programme Job Brokerage 3","West Dunbartonshire Council","291,782","116,712"
"P3","WDEP Facilities and Job Brokerage","West Dunbartonshire Council on Behalf of West Dunbartonshire CPP","424,347","159,256"
"P3","West Lothian Partnership Project - Connecting Communities","West Lothian Council","1,723,337","603,168"
"P3","West Lothian Job Brokerage Initiative","West Lothian Council","778,367","311,347"
"P3","Whitlawburn Community Energy","West Whitlawburn Housing Co- operative","6,759,678","2,365,887"
"P4","Aberdeenshire Real Time Passenger Information (RTPI) System","Aberdeenshire Council","491,879","191,879"
"P4","Rural Tourism Business Support","Angus Council","2,042,447","816,979"
"P4","Clydesdale Community Workshops 2010","Clydesdale Community Initiatives","1,878,221","655,718"
"P4","East Lothian Council","East Lothian Business Units","1,052,230","420,892"
"P4","East Neuk Creative Industries Hub","Fife Council","464,327","185,732"
"P4","Regional Biomass Advice Network (Rural Development)","Forestry Commission Scotland","636,736","254,694"
"P4","National Conservation Centre (NCC) The Engineshed, Stirling","Historic Scotland","4,925,036","1,936,403"
"P4","e-Health training and education unit for Moray","Moray College","6,547,170","2,618,868"
"P4","Unlocking economic potential in Perthshire and Angus","Perth and Kinross Council","704,741","281,894"
"P4","East of Scotland Renewables - Rural Supply- chain Development","Perth and Kinross Council","734,514","289,039"
"P4","Regional Real Time Bus Passenger Information System (Rural)","SEStran","1,025,420","410,000"
"P4","Regional RTPI System - Fife (Rural)","SEStran","668,186","267,275"
"P4","St Brides Community Group Centre","South Lanarkshire Council","595,546","235,546"
"P4","South Lanarkshire Rural Business Sites","South Lanarkshire Council","486,676","194,670"
"P4","Market Towns Business Infrastructure","South Lanarkshire Council","566,700","226,680"
"P4","South Lanarkshire Rural Industrial Site Revelopment","South Lanarkshire Council","498,963","199,563"
"P4","Lesmahagow Rural Business Strategy","South Lanarkshire Council","219,924","87,924"
"P4","Key Shared Service Rural Resource Centre","Stonehouse Development Trust","1,165,999","465,999"
"P4","Rural Action Plan for Moray","The Moray Council","1,963,502","785,400"
"P4","Rural Action Plan for Moray 2","The Moray Council","3,433,588","1,373,433"
"P4","Homecoming 2009","VisitScotland","3,521,319","1,232,462"
"P4","Green Tourism Consumer Promotion","VisitScotland","2,728,817","991,379"
"P4","New Seasonal Tourism Campaigns in the LUPS P4 Areas","VisitScotland","9,213,590","3,685,436"
"P4","Barony Business Development Centre","Barony College","1,177,520","471,008"
"P4","South of Scotland Knowledge Transfer Hub","Dumfries and Galloway College","1,127,040","450,816"
"P4","Transform - South of Scotland e-hub","Dumfries and Galloway College","1,208,869","483,547"
"P4","South of Scotland Creative Clusters Project","Dumfries and Galloway Council","523,662","206,167"
"P4","Scottish Borders Rural Business Site Development","Scottish Borders Council","2,318,849","808,003"
"P4","Galashiels Transport Interchange","Scottish Borders Council","4,664,447","1,865,779"
"P4","Kelso Town Centre Business Hub","Scottish Borders Council","736,593","237,617"
"P4","Gretna, Lockerbie, Annan (GLA) - Business Space Provision","Scottish Enterprise","1,840,026","736,010"
"P4","RURAL Business Property Support (South)","Scottish Enterprise","500,000","200,000"
"P4","GLA Regional Industry Park, Annan","Scottish Enterprise","1,421,964","568,786"
"P4","Greenlaw Town Hall - Office development","Scottish Historic Buildings Trust","1,186,573","474,629"
"P4","Regional RTPI System - Borders (SESTran/SWEStran)","SEStran","249,500","99,800"
"P4","Regional Real Time Bus Passenger Information System - Borders","SEStran","512,100","199,719"
"P4","The Haining - Stables Office Development","The Haining Charitable Trust","914,125","352,574"
"P4","TravelSmart Dumfries and Galloway","The South West of Scotland Transport Partnership","3,109,240","1,243,499"
"P4","New Seasonal Tourism Campaigns in the South of Scotland","VisitScotland","3,476,934","1,390,774"
"P4","Green Tourism Consumer Promotions - South of Scotland","VisitScotland","1,339,716","486,719"
"P4","Homecoming and the Development of the Diaspora Market","VisitScotland","574,887","201,211"
