"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"Barnardo's Northern Ireland","Dr B's Kitchen","2007","595,016.00","","433,851.98","","P1","£ 1,188,351.00","Dr B's Kitchen offers oportunities for young people with learning disabilities to train for and gain employment within the hospitality industry. This target group faces significant risk of exclusion in the labour market.  They will have the unique opportunity to train in the realisitic working environment of our busy city centre public restaurant where they will gain relevant qualifications, skills, knowledge and practical experience."
"CSV Media NI","CSV MEDIA ACTION NI","2007","278,792.00","","238,234.66","BT2 8HQ","P1","£ 598,652.00","The CSV Media Action NI project will provide purposeful and imaginative opportunities for unemployed and inactive  beneficiaries from disadvantaged groups at risk of exclusion from the labour market to undertake media training leading to a vocational qualification and work attachment with BBCNI that will help them move into sustainable employment."
"Roe Valley Community Education Forum","Flexible Steps","2007","318,853.00","","249,672.31","BT49 9BG","P1","£ 490,547.00","The Flexible Steps programme will be delivered in the Borough of Limavady alongside the existing DEL funded Steps to Work and New Deal programmes.  The programme aims to identify gaps in existing provision in the respect of training options, employer engagement and target candidates who fall outside eligibility under the current provision.  A tailored approach to individual needs with employment as key target is the primary goal."
"Dering Employment Services Ltd","Coach-ability (Northern Ireland)","2007","155,792.00","","76,763.51","","P1","£ 240,402.00","Coach-ability is an innovative sports coaching programme that will enable 70 disabled people to acquire coaching qualifications in their sport of interest combined with jobsearch skills to passport into a range of jobs in the sports sector."
"Training for Women Network","Advancement of Women Programme","2007","813,371.00","","262,982.12","BT12 5GH","P1","£ 1,251,341.00","The promotion of women's employability through training, policy development, research, high profile events, networking and information sharing.  Specific trainign programmes will target marginalised women and prepare them to apply for employment, events will highlight options for women in employment and innovative research will inform policy development processes to address gender imbalances in the access to sustainable employment."
"Include Youth","The Give and Take Scheme","2007","1,518,701.65","","812,299.02","BT1 1QA","P1","£ 2,336,465.00","The Give and Take Scheme aims to improve the employability and increase the self esteem of vulnerable young people who are unable to access mainstream training, education or employment."
"RNIB NI","Employability and Skills Project","2007","314,547.00","","104,637.34","BT2 8BA","P1","£ 483,918.00","EAS project would develop employability skills, training and development through a range of 'tools' developed specifically for blind and partially sighted people.    We will develop approaches which will benefit blind and partially sighted people seeking sustainable employment and also those employed seeking development/progression and sustainability in employment."
"Strathfoyle Women's Activity Group Ltd","Community Empowerment Program","2007","291,031.00","","221,292.78","BT47 6XP","P1","£ 447,743.00","This Project Aims to:   - Engage local people in education & training in doing so raise their skills   levels while providing basic skills and confidence building programs.  - Provide Career Guidance/Job Search skills to every individual on programs.   - Provide progression routes for women to move into further education & training & employment.  - Open avenues into self employment (through our Childminding Network)  - Provide support services for lone parents,  disadvantaged parents and women to enable them to part-take i.e. crche facilities for all day-time classes & respite childcare."
"The Orchardville Society Ltd","Orchardville Society Employment and Skills Services","2007","1,357,325.85","","1,228,705.61","BT6 8ED","P1","£ 2,925,666.00","The purpose of the Project is to enable people with learning disabilities obtain real and economically viable employment opportunities by providing a range of person-centred Career Development, Skills and Employment Services.     The Project will offer key specific support measures to develop employability in areas including, skills and knowledge development, work experience, personal attributes and independences."
"North Belfast Employment Centre","Improving your Future Prospects.","2007","445,361.00","","269,315.28","","P1","£ 685,173.00","N.B.E.C. as a community based employent Centre seeks to provide ongoing support, advice and guidnace to the long term unemployed who are wishing to return to work. This programme will be aimed at those who have been receiving incapacity benefit and people who have been suffering from a disability and those who have been econom8cally inactive for a number of years."
"First Steps Womens Centre","Women towards greater education and employment","2007","779,474.00","","330,759.43","BT70 1DX","P1","£ 1,199,190.00","This is about working with women who have little or no skills in numeracy and literacy and also for other women who wish to return to education. First Steps will be offering a range of courses suitable for all women designed to sustain their interest. Support will be provided for women moving into employment."
"North West Lifelong Learning Limited","SKILLS 4 SERVICE","2007","406,431.25","","150,772.17","BT49 9AA","P1","£ 627,125.00","The service industry has much to offer everyone in Northern Ireland and it is hoped that this project will be of benefit to those along the North Coast who wish to work in social and security areas of this industry."
"YouthAction NI","THE REACH PROJECT","2007","443,110.50","","324,612.76","BT1 6AS","P1","£ 681,713.15","The  REACH PROJECT  is based on  youth work principles of reaching out to hard to reach young unemployed people to support them to reach their full potential to enable them to participate fully  at a social and economic level within society  The aim of this project is to support unemployed and inactive young people who face multiple barriers which prevent them from entering employment. It will support them to gain the skills to enable them to move towards or into sustained employment."
"The Cresco Trust","STRIVE 2 WORK","2007","907,224.00","","339,586.18","BT48 6JG","P1","£ 1,395,730.00","This project will deliver labour market intermediary services to assist the unemployed, long-term unemployed and economically inactive move into work and sustain employment. We will offer training to enhance the job seeker's employability. We will establish a structured Employers' Forum with a pool of job vacancies ring-fenced for those successfully completing this training."
"Windsor Womens Centre","Euterpe 1111","2007","301,487.00","","190,731.05","BT12 6HY","P1","£ 463,826.00","The Euterpe Project is designed not only to to meet the aspirations of women to create a better future for themselves and their families by providing a tailored programme of educational,vocational,capacity building,confidence raising opportunities but is also created to to help women recognise that they can have aspirations beyond merely surviving."
"Mencap","Mencap Pathway to Success","2007","2,189,359.00","","882,313.95","BT7 3JH","P1","£ 3,368,247.00","The project aims to connect people with a learning disability to the labour market.  This will be achieved through a range of direct and indirect interventions, on both the demand side (by offering a comprehensive service to learning disabled peole who wish to work) and the supply side (by working proactively with employers)of the labour market."
"Mencap","Pathway to Success","2011","1,907,253.00","","327,569.76","BT61 9AT","P1","£ 3,130,884.00","The project aims to connect people with a learning disability to the labour market. This will be achieved through a range of direct and indirect interventions, on both the demand side (by offering a comprehensive service to learning disabled people who wish to work) and the supply side (by working proactively with employers) of the labour market."
"Association For Real Change (NI)","Getting Started","2007","113,589.00","","106,965.77","BT15 5AL","P1","£ 174,751.00","Using existing links with community groups and employers, Getting Started will support unemployed people in the Greater Belfast and Down areas to gain employment in the care sector. Participants will complete the Getting Started course which will equip them with the knowledge needed to meet the NISCC Induction Standards and guarantee them an interview."
"Banbridge District Council","Banbridge Re-Use & Training Facility","2007","260,199.00","","16,526.04","","P1","£ 401,480.00","Banbridge District Council in partnership with the community and public sectors in the Banbridge District aim to establish a social economy project that produces opportunities for re-skilling unemployed residents and also those with learning and physical disabilities while simultaneously reducing tonnage going to landfill.  The project aims to raise awareness of the culture of re-using items of furniture and white goods while providing a chance for up skilling, confidence building, promoting ICT skills, people management skills, upholstery / electrical skills and general interpersonal and interaction capacity."
"Omagh District Council for Omagh District Training Consortium","DELTA - Development and Empowerment through a Learning & Training Approach","2007","877,520.00","",".00","","P1","£ 1,360,558.00","Engage/re-engage individuals who have a range of complex needs for whom traditional New Deal does not cater, or has failed to cater for, with a clear focus on progression and employment.    Provide a range of supports to assist individuals identified as Priority 1 target group participate.    Develop structured careers advice and jobsearch activity and life skills to enhance personal development and employability skills.    Engage employers to contribute to the design and development of programmes and identify skills gaps.    Srengthen and expand co-operation between support agencies for clients' success.    Monitor, review and evaluate in line with IQ:RS (improving quality:raising standards)    Incorporate best practice from previous and current pilot projects."
"GINGERBREAD NI","CHOICES PLUS (Choices+)","2007","737,306.00","","447,109.05","BT7 1HR","P1","£ 1,134,319.00","Choices+ will help lone parents into sustainable employment through: the creation of an innovative programme providing training, careers advice and guidance and work taster sessions for lone parents; and the development of a partnership approach at local and transnational level between the public, voluntary, educational and private sectors.  Choices+ will compliment and add value to mainstream provision increasing the range of support to lone parents, allowing access to training and qualifications at higher levels and for additional periods  than are available through mainstream programmes and by providing access to sustainable work opportunities."
"The Prince's Trust","Team","2007","1,497,773.00","","412,459.53","BT15 3HN","P1","£ 2,304,272.00","Team is a 12-week personal development programme for young people, aged 16-25, not in education, employment and training. Team will improve participants employability through vocational skills and national accredited qualifications."
"Shankill Women's Centre","Education, Training & Employability Project","2007","291,286.00","","227,730.79","BT13 1FD","P1","£ 448,136.00","This project will focus on involving women/young women in education with the goal of becoming employable.  This project will consist of a programme delivering classes that will serve individual needs.  Classes will range from Confidence Building/Personal Development to GCSEs/University Access courses and CV writing/Interview Techniques/Business Start-Up and Employability programmes."
"North West Play Resource Centre (T/A The Playhouse)","Creative Approaches to Literacy","2007","140,880.00","","83,612.43","","P1","£ 216,768.00","The Playhouse will use Open College Network Accredited Training in Creative Writing & Performance , and CCEA Literacy to improve Essential Skills with disadantaged groups including Young People, Male Prisoners and Adults."
"Belfast Metropolitan College","Engineering Skills for Industry","2007","284,485.00","","52,929.39","","P1","£ 471,586.00","To engage,encourage and support the unemployed and long term unemployed in obtaining skills to assist them in competing for job opportunities.    To provide local engineering/manufacturing companies with a supply of potential employees with pre-employment skills that can be further developed in employment."
"Belfast Metropolitan College","Engineering Skills for Industry 3","2011","195,922.00","","19,517.13","","P1","£ 306,125.00","To provide the students on the programme with the necessary skills and qualifications to find sustainable employment."
"Enterprise NI","Exploring Enterprise","2007","1,812,759.00","",".00","BT49 0HE","P1","£ 2,788,861.00","The project will target disadvantaged groups who are experiencing difficulties trying to enter the labour force. It will encourage them to explore the option of self employment through a personal and enterprise development skills programme, which includes  a personal action plan, 1:1 mentoring, networking opportunities, signposting into mainstreaming support and aftercare."
"Belfast Metropolitan College","Progress","2007","300,877.00","","210,881.14","","P1","£ 462,891.00","This project aims to encourage and empower individuals to develop the skills, knowledge and confidence needed to gain sustainable employment.  Target groups include those with low or no qualifications, the unemployed, economically inactive, lone parents, females and those with poor job prospects helping them to progress into sustainable employment."
"Northern Ireland Association for the Care and Resettlement of Offenders","Jobtrack","2007","2,738,667.00","","1,703,759.82","BT2 7GS","P1","£ 4,213,884.00","Jobtrack intervenes with ex-offenders, offenders, prisoners and ex-prisoners to reduce rates of re-offending and recidivism through the provision of an holistic employment-led model that addresses the needs of beneficiaries and labour market requirements and which also addresses legislative, structural and attitudinal barriers."
"Newstart Education Centre","Newstart Education Centre","2007","306,834.00","","112,590.59","","P1","£ 472,807.00","Newstart Education Centre aims to address the education and learning needs and issues of young people outside the formal education system, young adults, parents (of all ages, adult learners and families. Newstart recognises that young people are out of mainstream education for a wide variety of reasons.  We aim to equip young people and users with the educational, social and life skills necessary to enhance their futures, employability, life opportunities and sense of citizenship."
"Job Assist Centres West Belfast - Upper Springfield Development Co Ltd","Jobs on the Move","2007","415,407.00","","276,718.44","","P1","£ 639,088.00","Jobs on the Move is an innovative project aimed to engage with and develop the employability of those furthest from the labour market using a unique outreach approach, enable employability mentoring and support on people's doorsteps using a mobile 'Jobs on the Move' bus, fully resourced to enable those hardest to reach access guidance, mentoring and information on:  - where they are currently along the employability continuum  - where they want to be  - how they will get there    In addition to resources, expertise and knowledge of local provision to refer those furthest from the labour market to remove barriers to employment, Job on the Move will also have information on current employment opportunities and services to support people in the process of applying for, securing and sustaining employment."
"Ashton Community Trust","Womens Community Training Project","2007","204,991.00","","120,470.62","","P1","£ 315,371.00","This project aims to target women who are both economically and socially marginalised.  The project will focus on improving the employability of those women experiencing significant employment gaps, such as, long-term unemployed women, female lone parents and those with little or no qualifications.  The Womens Training Project aims to offer training which will increase basic and intermediate skills, whilst incorporating individual support, to address potential barriers to employment alongside increasing confidence levels and ultimately improve their employment prospects."
"WOMEN'STEC","ETC. Extending Training in Communities","2007","498,102.00","","359,549.59","BT15 2GE","P1","£ 766,311.00","To skill up women 18+ years of age and raise awareness & provide skills training which will engage women to consider employment in one of four areas.   The programme will commence with Stage 1 Foundation Training, leading to Stage 2 Training which will be tailored to focus on the skills & competencies necessary for their chosen progression route. By Stage 3 women will continue to be supported & mentored while they pursue their chosen progression route."
"NOW Project","Project Workforce","2007","1,506,315.00","","600,606.54","BT12 7DU","P1","£ 2,317,409.00","This Project will take a partnership approach to reducing economic activity and increasing workforce skills for people with learning disabilities / difficulties in the North and West BElfast and Lisburn areas.  The Project will the first of it's kind to bring together two successful disabilitiy organisations witht he aim to develop a strategic approach to the development of skills and employment opportunities for people with disabilities who are often found to be among those furthest removed from the labour market.      Project Workforce will provide a continuum of services across our service delivery areas which ensures high quality support and training for people with learning difficulties and disabilities from 14 years to 65years.  Our programme will be based on current models of good practice in skills training and supported emplyoment and will engage with local and national government initiatives to provide a skilled workforce ready to fill recruitment gaps in the local labour market.    Added value will be seen in the new partnership delivery of this project and it's focus on engaging with exisitng service provider and employer initatives."
"East Belfast Enterprise","Women Working for Themselves","2007","150,036.00","","135,132.04","BT5 4GX","P1","£ 230,825.00","The project will recruit unemployed and economically inactive women and provide them with confidence building and pre-enterprise training and activities to encourage them towards self-employment. The programme is based on a very successful pilot which showed a real demand for this type of support. The programme will work through a partnershp approach with community organisations and womens groups throughout the Greater Belfast area."
"Clanrye Employment and Training Services","Newry Technology Centre","2007","467,699.00","","320,172.37","","P1","£ 719,538.00","Newry Technology Centre offers training to people with physical disabilities, in the areas of IT and Administration.   Aims:  - Training, qualifications and employment opportunities to people with physical disabilities while increasing self confidence  - Reduce dependency of people with physical disabilities on care services  - Increase employers' awareness of the contribution people with disabilities make    CETS intends to extend the range of opportunities available by increasing the level of training opportunities and employment outcomes"
"Upper Andersonstown Community Forum","Jobs, Education and Training Project","2007","514,848.00","","385,455.76","BT11 8NE","P1","£ 792,075.00","The aim of the JET Project is to provide long termed unemployed, women, disabled and young people with an Essential skills,  Literacy,Numeracy and ICT Project. The Project will enable them to gain the necessary skills to avail of opportunities in the labour market and  progress to further training and education. The Project will be based in an area which is described as a Super Output area (NISRA) and falls within the worst 5% of disadvantage."
"Dungannon & South Tyrone Borough Council","(S.E.E.K) SKILLS, EDUCATION, EMPLOYMENT, KNOWLEDGE","2007","312,121.00","","161,359.07","","P1","£ 480,196.00","The S.E.E.K project will increase the supply of skilled, educated, knowledge workers in our economy and help them gain sustained employment by providing training/skills development for approximately 48 (3 x 16)unemployed/inactive women over a 3 year period. A varied menu of accredited qualifications coupled with the softer skills sought after by employers today (as confirmed in LSDA Employer Engagement Survey findings)and opportunities to 'work sample' will add value to current provision."
"Ashton Community Trust","North Belfast Works","2007","497,430.00","","297,674.72","BT15 2BP","P1","£ 765,278.00","The aim of  North Belfast Works programme is to reduce economic inactivity and increase workforce skills. The NBW programme will specifically target those groups furthest from the labour market and help them reach the necessary skill market to compete in labour market. The NBW will address employment and training in tandem to ensure the highest possible outcome in terms of sustained employment. Targets groups will include: those in receipt of incapacity benefit. Income support, long-term JSA claimants, those in receipt of DLA, lone parents, women returners, ex service personnel and ex prisoners. The project will be entirely cross community through the Ashton Community Trusts partnership with community centres across North Belfast.    The main theme of the NBW programme is to give those furthest from the labour market a bridge back to the world of work by providing additional training, mentoring and support than currently offered through New Deal, Job Assist Centres, and current central, regional and local provision."
"Ashton Community Trust","Progress to Employment","2007","425,045.00","","322,956.81","","P1","£ 653,916.00","The progress to employment programme will be the number one point of contact to those who are long term unemployed, those moving towards long-term unemployment, young people, women returnees, ethnic minorities and those who are economically inactive who lack the necessary skills to take up employment. They will be participants from areas of high disadvantage who have been socially excluded from the labour market due to lack of skills and job experience.     This programme will give people within these communities who lack educational attainment or employment skills the opportunity to have access to quality training that will make them more employable as well as the opportunity to have access to employers and job placements. It will also be in line with government thinking in tackling long-term unemployment and stemming the flow of those moving towards long-term unemployment.    The programme will provide participants with progression routes to secure worthwhile employment"
"TIME Associates","Skills for Enterprise","2007","218,587.09","","181,193.91","BT9 6AY","P1","£ 336,287.83","The Skills for Enterprise project aims to promote enterprise among 60 unemployed residents of Greater Belfast who are deemed difficult to reach by normal mainstream enterprise promotion. The project will provide participants with personal development, enterprise skills, sectoral skills and career planning linked to their area of interest across three strands:  Virtual Secretaryadministrative and IT skills  Learn2Earnhospitality and catering skills  Fixit Programme-tradesmen/construction skills"
"University of Ulster","FORTIFY","2007","318,165.00","","180,258.00","","P1","£ 508,565.00","The purpose of the FORTIFY project is to encourage students to study computing and engineering at the University of Ulster who would not normally be able to take this route.  It is particularly targeted at students from disadvantaged backgrounds, female students who are under-represented in these subjects and students who have had a break in their studies."
"Creggan Neighbourhood Partnership","CORE - Creating Opportunities to Return to Education","2007","322,805.00","","150,779.68","BT48 9QG","P1","£ 496,626.00","The CORE Project will provide opportunities for a comprehensive returning to education programme for those adults who suffer multiple disadvantage and barriers to formal education and employment. The target group will be made up of single/lone parents, disaffected young people, women and those with no or low qualifications, and will be based on promoting sustainable development and equality of opportunity across the community."
"USEL (Ulster Supported Employment Ltd)","STEP (Skills Training for Employment Progression)","2007","1,104,561.00","","438,604.41","BT13 3JH","P1","£ 1,699,328.00","USEL will design, develop and deliver a range of tailored training and employment programmes to 705 regionally based and hard to reach unemployed disabled people and people with health conditions over the life of the project.  STEP will provide accredited and non-accredited training, work placements and work traineeships to participants to enable movement into inclusive mainstream employment and reduction in economic inactivity."
"Young Enterprise Northern Ireland","Key Start","2007","470,067.00","","242,489.78","","P1","£ 723,181.00","Key Start will work with children aged 14 to 16 currently with alternative education providers. It will provide personal development, motivation and confidence building; and an introduction to employment and business creation. This has proved to be effective in giving non-academic children a positive attitude to their careers and futures."
"The Bridge Association","The Bridge Training Unit","2007","743,434.00","","247,508.58","","P1","£ 1,186,884.00","The Bridge Association is a voluntary charity providing vocational training and work experience placements for adults with Learning Disabilities.  The philosophy of the Association is based on the belief that each person should have the opportunity to mature and develop as an individual to their full potential in all aspects of living i.e. social, educational, occupational and recreational."
"Workforce Training Services Limited","Route to Employment","2008","241,878.00","","160,834.71","","P1","£ 417,123.00","To offer skills training and employment support for those most marginalised and furthest removed from the labour market.  To develop cross community relationships , diversity awareness and high self esteem for participants alongside emplyment skills to fulfill sector skills needs. To promote social and economic inclusion."
"Women in Business NI Ltd","Women Into Business","2007","323,911.00","","174,720.77","","P1","£ 498,330.00","NI Women Returners Network supports and empowers women who have been out of the workforce for a period of time to re-enter the workforce. This is acheived through: mentoring; online support forums; signposting; confidence building workshops; networking events; introducting role models.This is all provided in a supportive and empathetic environment.    Project changed named to Women Into Business - as per revised LOO dated 26th March 2010"
"Southern Regional College","Skills for Retail","2007","460,073.00","","119,185.10","","P1","£ 707,807.00","The aim of this project is to provide a pathway into work by providing employability and vocational skills to unemployed and inactive people of all ages towards sustainable employment in the retail sector in Northern Ireland.     The programme of activities seek to assist the hardest to reach groups by offering a comprehensive support and development programme that addresses the needs of individuals by helping overcome barriers to both lifelong learning and employment.     This will include working with partners in the local retail cluster and local employers to provide relevant qualifications and training linked to identified job opportunities in the retail sector."
"Stepping Stone Project","work4u","2007","246,613.00","","245,146.32","BT4 1HB","P1","£ 381,979.00","To provide an interface between employers and long-term- unemployed people including those deemed economically inactive.The project will act as a liaison service between the organisations that provide services and facilities to the target group, the individual and employers.  The project will also target SMEs with a view to establishing their recruitment needs and other problems and disseminate this informarion to Agencies such as DEL and Belfast City Council."
"North City Training","The Grey Workers Programme","2007","190,735.00","","107,555.49","","P1","£ 295,417.00","The aim of the application is to establish a 60 place Intermediary Labour Market Programme (ILM) for long term unemployed an ecomically inactive adults who are 50 years old or more. The project will operate a 3 year period with 20 particapnts per year."
"North Belfast Partnership","Public Employment Partnership","2007","233,103.00","","106,046.68","BT15 2GG","P1","£ 358,623.00","The Public Employment Partnership (PEP) will match long term unemployed and economically inactive job seekers with entry-level Public Sector jobs provided by Belfast City Council, Northern Ireland Housing Executive and the Belfast Health and SOcial Care Trust throughout Belfast whilst supporting the employers to review and amend potentially restrictive Human Resource policy and practice to ensure fair access to entry-level public sector employment for potential employees currently far removed from the labour market."
"North West Centre for Learning & Development","NWCLD Skills development for disadvantaged groups","2007","187,524.00","","86,470.42","BT48 0LU","P1","£ 288,500.00","To provide training and support to individuals who are disadvantaged and are having difficulty attaining employment.  To focus on removing the barriers which have prevented individuals from accessing employment.  To provide in to work support."
"The Prince's Trust","The Prince's Trust Entrepreneurship Programme","2007","644,421.00","","436,455.34","BT15 3HN","P1","£ 991,421.00","This programme will facilitate the establishment of approximately 690 new businesses each year through the provision of enhanced support to young people in Northern Ireland and who are in most need of help."
"RNID (Royal National Institute for Deaf People)","Sustainable Work and Well-Being for Deaf People","2007","280,967.00","","73,312.26","BT1 6AR","P1","£ 439,480.00","The project will provide deaf and hard of hearing people across Northern Ireland with: better access to learning especially in their own geographical community; independent guidance on learning including essential skills learning; peer support for deaf and hard of hearing people with mental health needs; increased volunteering opportunities; increased support in accessing health prevention schemes and health services; better chances of getting work; and getting into, and staying in, work. Deaf and hard of hearing people will be at the centre of this project, empowered to develop their own package of holistic support."
"Greater Village Regeneration Trust","Woodwork and Employability Programme","2007","327,879.66","","280,035.80","BT12 6FQ","P1","£ 504,491.42","The W.E.P project is aimed at unemployed or economically inactive residents in inner South Belfast.  It aims to engage those furthest from the labour market with multiple barriers by providing a person centred development programme aimed at individual levels and catering for individual needs. Through a combination of practial constuction skills, training and qualifications participants will, upon completion of the programme, be able to access employment, further education or apprentiships."
"Conservation Volunteers Northern Ireland","Conservation Volunteers - Training for Employment","2007","216,627.00","",".00","","P1","£ 333,273.00","Conservation Volunteers Northern Ireland will help unemployed volunteers at its five offices, who participate on practical teams and Green Gym groups, to gain skills and qualifications to move on to employment. Each participant will be provided with individually tailored advice and support and training leading to skills and qualifications, to help them gain employment."
"Local Strategy Partnership Derry City Council area","Labour Market Engagement in Derry","2007","1,723,922.00","",".00","BT48 7NN","P1","£ 2,652,187.00","The project focuses on the supply side and demand side issues of  Labour Market Engagement. This proposal is to establish a flexible outreach and signposting project centred around personal support for individual jobless people helping them match their abilities and interests with job or training opportunities and assisting employers in finding the right staff with the right training."
"Workers' Educational Association","From Learning to Earning","2007","495,699.00","",".00","BT9 6AW","P1","£ 762,616.00","This is a community-based pre-employment learning programme targeting unemployed and economically inactive in 8 Neighbourhood Renewal Areas: a particular target group will be the 50+. Participants will progress from short low level courses in practical soft skills and IT to full qualifications in IT and Employment Skills. Key to success will be multi-layered mentoring support mechanisms."
"Belfast City Council","HARTE (Hospitality and Retail Training for Employment)","2007","309,250.00","","214,054.08","BT2 8BP","P1","£ 495,000.00","The project will aim to increase access to employment opportunities within the hospitality and retail sectors. This will be done through a series of flexible and targeted training support in sector specific and essential skills.  The programme will be industry-led and clients will be identified through links with a range of community-based organisations."
"North Belfast Partnership","Local Employment Access Partnership (LEAP)","2007","246,209.00","","183,039.02","BT15 2GG","P1","£ 378,781.00","LEAP is a project led by the North Belfast Partnership working closely with a network of local stakeholders in addressing unemployment and economic inactivity in North Belfast. Through co-ordinated areawide marketing to promote local services and programmes coupled with dedicated employer engagement, we aim to enhance levels of employability and assist people back to work."
"Triangle Housing Association Ltd","Triangle Progression to Employment Services","2007","1,195,081.00","","951,865.67","BT53 6BD","P1","£ 2,300,396.00","Triangle Progression to Employment Services delivers a range of specialised services focused on progressing some of the most disadvantaged members of society towards the labour market. The Primary target group are people with learning disability with a person centred approach employed offering a portfolio of services designed to address barriers to employment. Services encompass the Supported Employment model and Social Enterprise initiatives which prepare participants for progression towards open employment and/or mainstream DEL employment initiatives such as Pathways Work Preparation Programme,Workable and New Deal etc."
"Triax","Apollo Project","2007","389,933.00","","58,176.26","BT48 9LH","P1","£ 599,899.00","The purpose of the Apollo Project is to increase the employability and reduce economic inactivity of residents within Triax and other Neighbourhood Renewal areas in Derry. The Project will work exclusively with a cross section of groups experiencing significant employment gaps. Project activities will incorporate a combination of personal development, confidence-building, team-working, and practical skills through active participation in the arts, in order to boost motivation and aspiration levels of participants. Apollo will create a tailored approach, which will connect training and work experience to real labour market conditions, whilst developing soft employability and generic skills."
"Visual Access NI Ltd","Enhanced Training for Employability","2007","111,160.00","","72,953.93","","P1","£ 171,015.00","The project will, over a period of three years, train 24 individuals who have disabling and other health conditions with a package of ""hard"" and ""soft"" skills to enable them to maximise their opportunities for employability."
