"Priority","Organization","Project","Type","Subsidy","Matching","Total_cost","Year_start","Year_end","Project_postcode","State","Region","Geocoding_round","county","city_name","postal_code","lat_coords","long_coords"
"P1","Agri-Food & Biosciences Institute","PoC 146 - The Development of Diagnostics to Detect a Poultry Virus.","ERDF","96963","N/A","96963","2009","2015","BT9 5PX","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Agri-Food & Biosciences Institute","PoC 145","ERDF","102600","N/A","102600","2009","2015","BT9 5PX","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Agri-Food & Biosciences Institute","PoC 207 - Control of Diseases in Pigs that may be Associated with Porcine","ERDF","96327","N/A","96327","2011","2015","BT9 5PX","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Being Communications Limited","LoO 09/0315 MIS","ERDF","5497","N/A","14931","2009","2014","BT9 6AA","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Being Communications Ltd","RD0412052 - New Etelligent Product Suite","ERDF","19834","N/A","49585","2012","2016","BT9 6AA","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","Sustainable Energy Branch","Offshore Wind and Marine Renewables Strategic Environmental Assessment","ERDF","309000","N/A","309000","2009","2012","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","K Hughes & Co Ltd T/a Hughes Mushrooms","LoO 07/0282 MIS","ERDF","34524","N/A","95545","2007","2014","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Envirowise 08/09","Envirowise 08/09","ERDF","626000","N/A","626000","2007","2014","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Kevin Hughes & Brian Donaghy T/a Fabcon Engineering","RD0909372","ERDF","6238","N/A","12476","2009","2014","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Spence & Partners Ltd","LoO 09/0062 MIS","ERDF","50000","N/A","157658","2009","2014","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Envirowise 09/10","Envirowise 09/10","ERDF","640000","N/A","640000","2009","2014","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","Killymoon Bespoke Living Ltd","LoO 08/0639 SFA","ERDF","25600","N/A","44000","2008","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","SEED - Down District Council","SEED Food and Fisheries Programme","ERDF","93250","N/A","200025","2008","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Thompson & Sons Ltd","Project 2/II","ERDF","207876","N/A","519689","2008","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","QM3 Innovation Ltd","Project 1/II","ERDF","231936","N/A","724800","2008","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI - European Programmes","LED - Economic Appraisals, LED Workshop and Verification Workshop 2009 -10","ERDF","42876","N/A","42876","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Oakwood Door Designs Ltd T/a Uform","LoO 09/0423 MIS","ERDF","34612","N/A","86825","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","DETI Sustainable Energy Branch","Renewable Electricity Targets and development of appropriate support mechanism","ERDF","90050","N/A","90050","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","SEED - Ards Borough Council","Expanding our Craft Horizons (2)","ERDF","49750","N/A","101300","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","Avanti Communications Group Plc","Project IRON (Integrated Rural Broadband Network)","ERDF","137778.97","N/A","344447.42","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","Telecoms Policy Unit","logon-ni","ERDF","3673972","N/A","3673972","2009","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI European Programmes","Managing Authority Technical Assistance 2010-11","ERDF","10000","N/A","10000","2010","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI European Programmes","Managing Authority Technical Assistance - Mid Term Evaluation of the EU SCP 2007-13","ERDF","35535","N/A","35535","2010","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","DETI-Sustainable competitiveness programme for Northern Ireland","Uniting Sustainable Energy Communications in Northern Ireland","ERDF","36000","N/A","36000","2010","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","European Programmes (LED)","LED - Technical Assistance Support 2010-11","ERDF","50000","N/A","50000","2010","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","M & K Quarry Plant Limited","RD0610603 Waste Density Separator","ERDF","56664","N/A","188879","2010","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI European Programmes","Managing Authority Technical Assistance 2011-12","ERDF","10000","N/A","10000","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Bubblebum (UK) Ltd","LoO 11/0304 MIS","ERDF","5360","N/A","13400","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Cyril Reid T/a Drumack Coachworks","LoO 11/0238 MIS","ERDF","5169","N/A","14255","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Kenneth Irwin and Carolyn Irwin","LoO 11/0974 MIS","ERDF","7865","N/A","15730","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Hampton Conservatories Ltd","LoO 11/101134300 IM","ERDF","14333","N/A","29251","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","MIS Internally Created Application","Electricity Market Reform and the Impact on Renewable Electricity Incentivisation in Northern Irelan","ERDF","32500","N/A","32500","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","PIP Fire & Safety Ltd","LoO 110529 MIS","ERDF","14143","N/A","41476.67","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Express Foodservice (NI) Limited T/A Bap Express","LoO 110330 MIS","ERDF","18184","N/A","57560","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","MIS Internally Created Application","Energy Supplier Obligation Study","ERDF","83448","N/A","83448","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P3","DETI Energy Sustainable Branch","Regional Locational Guidance","ERDF","90000","N/A","90000","2011","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","John Wilkinson T/a Valkyrie Craft","RD0312986 - Lightweight high strength canoe paddles","ERDF","3367","N/A","4489.33","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Softedge Systems (NI) Ltd","LoO 11/1214 MIS","ERDF","5253","N/A","7640.7","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Frank Design & Communication Ltd T/a Big Motive","RD0712606 - Motivision Interactive Entertainment with Integrated Retail","ERDF","4855","N/A","9710","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","The Brunch Box Sandwich Company Ltd - Interim manager","The Brunch Box Sandwich Company Ltd - Interim manager","ERDF","5880","N/A","12000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI European Programmes","Managing Authority Technical Assistance 2012-13","ERDF","13000","N/A","13000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Conor O'Donnell T/a Tara Lodge","LoO 111098 MIS","ERDF","6048","N/A","13013.33","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Elaine McVeigh and Carol Skillen T/A Work Rest Play","LoO 111177 MIS","ERDF","7050","N/A","14100","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","LORRAINE MCALEER T/A LEARNING SPACE","MIS - 12/04/2012","ERDF","6457","N/A","14350","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Keith Donaghey T/a KD Developments","LoO 1206/101156038 MIS","ERDF","8420","N/A","16840","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Bubblebum (UK) Limited","RD0312024","ERDF","7612","N/A","17300","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Fuel-Tec Ltd","LoO 11/101156063 IM","ERDF","8820","N/A","18000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","James Sammon & Co Ltd T/A Sammon Chartered Surveyors","LoO 111068 MIS","ERDF","7097","N/A","19656","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","MIS Internally Created Application","NITB Staffing Support 2011-2012","ERDF","20000","N/A","20000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","MIS Internally Created Application","NITB Staffing Support 2012-2013","ERDF","20000","N/A","20000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Michael Morton & David Millsop","LoO 1210/101179236 IM","ERDF","14700","N/A","30000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Kenneth Irwin and Carolyn Irwin","RD0912659 - Development of Novel Feed Ingredients and Horse Feeds","ERDF","17645","N/A","35290","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Patrick, Dympna, Oliver & Peter McCann T/A P McCann & Sons","RD0412514 - Beverage Production","ERDF","17462","N/A","38804","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","E CULLEY,G GRATTAN,K DOMINY, P BEATTIE & A CULLEY T/A IMPRO PRINTING","MIS LoO 11/1112","ERDF","14576","N/A","45388","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Redburn Solutions Ltd","RD0412512 - Analysis of Schools Learning, Relationships and Behavioural Risks","ERDF","23816","N/A","47632","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Achta Ltd","RD0712604","ERDF","45675","N/A","60900","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Performa Sports Ltd","RD0412047 - Proforma Sports Software Development","ERDF","49680","N/A","72000","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Gogamingo Ltd","RD0512550 - Gogamingo Universal Score Board","ERDF","48480","N/A","80800","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Sharman D. Neill Limited","RD1111869 - Design Initiation, Integration and Manufacture with Online Global distribution","ERDF","49509","N/A","110020","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DARD Climate Change and Renewable Energy","Biomass Processing Challenge Fund (BPCF) Technical Support - Tranche 2","ERDF","120120","N/A","120120","2012","2015","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","Department of Finance & Personnel - European Union Division","Member State Technical Assistance Category 86: Publicity and Evaluation","ERDF","52000","N/A","52000","2008","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","Department of Finance & Personnel - European Union Division","Member State Technical Assistance Category 85: Programme Administration Project","ERDF","600404","N/A","600404","2008","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Nacco Materials Handling Ltd (Collaborative project with QUB)","RD0509238 - Counterbalanced Lift Trucks: Modelling of Energy Consumption","ERDF","193641","N/A","343368","2009","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P4","DETI European Programmes","Managing Authority Technical Assistance - Standalone Website","ERDF","20200","N/A","20200","2010","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","Steam & Generation Services NI Limited","LoO 10/0898 SFA","ERDF","14000","N/A","35000","2011","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","Andrew White, Gareth White, Laurence White, Roger Parsons and Alan White","LoO 11/0615 SFA","ERDF","17600","N/A","44000","2011","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","Mysong Media (NI) Limited","LoO 11/0254 SFA","ERDF","47500","N/A","134988","2011","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Savage Engineering & Coachworks Ltd","RD0211720 - Multi-station Exercise Machine","ERDF","46175","N/A","153916.67","2011","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P2","W. & G. Baird Limited","LoO 11/0810 SFA","ERDF","50000","N/A","549450.55","2011","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Grainne Maher T/a Millinery / Pluck & Devour","LoO 120051 MIS","ERDF","6050","N/A","12100","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","RGM Vent Limited","LoO 1211/101182311 MIS","ERDF","5175","N/A","13142","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Physioflexx Limited","LoO 1207/101160785 MIS","ERDF","6416","N/A","14686.67","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Mr John & Mrs Sally Williamson T/A Valley Hotel","LoO 120005 MIS","ERDF","5674","N/A","15740","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Horse First Limited","LoO 1207/101160848 MIS","ERDF","7935","N/A","15870","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Knysna (N.I.) Limited T/A Rich Sauces","LoO 1212/101182314 MIS","ERDF","7810","N/A","16300","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Clear Spirit Design Ltd","LoO 1208/101167102","ERDF","8280","N/A","16560","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Conor MacNamara & Patrick O'Kane","MIS - 14/11/2012 (101183947)","ERDF","8400","N/A","16800","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Smyth & Gibson Shirtmakers Limited","LoO 1207/101159145 MIS","ERDF","10250","N/A","20500","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Russell Yates, Karen Yates & Orreen Yates","LoO 1208/101163981 MIS","ERDF","7783","N/A","24283.34","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Treatticket Limited","LoO 1212/101163937 MIS","ERDF","12410","N/A","24820","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","A & N Shilliday & Co. Limited","LoO 1211/101182754","ERDF","22459","N/A","30636","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Damiraco Ltd T/a The Enniskillen Hotel","LoO 1210/101178964 MIS","ERDF","13090","N/A","38633","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Planning Palette Ltd","RD0812634","ERDF","31585","N/A","45120","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","David Bailey T/a DB Consulting","RD0412055 - A Database to indentify Pit Bull Breeds through hair analysis","ERDF","33967","N/A","45289","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Loyalty Living Limited","Loyalty Living Limited LoO 1210/101178749 MIS","ERDF","24131","N/A","52036.66","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Motivation in Learning Limited T/a Superstickers","LoO 1206/101159099 MIS","ERDF","24467","N/A","56343.33","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Thomas, Ruth & William Gilpin","LoO 1207/101163587 MIS","ERDF","25000","N/A","58852","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Patrick Kirke T/A Patrick Kirke","RD0412045 - PEK Sustainable Garden Room","ERDF","43559","N/A","59669.86","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Darren Fenton T/a DM Innovations","RD0812637 - The application of new sensor","ERDF","45080","N/A","64400","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Qubizm Limited","RD0412511 - Create a fully working classroom prototype of Izak9","ERDF","49988","N/A","66650.67","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","JH Label Solutions LLP","LoO 1206/101154382-1 MIS","ERDF","25000","N/A","67209.33","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
"P1","Gemat Limited T/A Gemat Automation","RD0912660 - Development of a Flat Sheet Thickness Scanner for the Plastics Industry","ERDF","48606","N/A","69437","2012","2016","N/A","Northern Ireland","N/A","None","N/A","N/A","N/A","N/A","N/A"
