"Organization","Project","Year_start","Total_ammount","Year_end","Paid_ammount","Project_postcode","Priority","Total_cost","Description"
"William Clark & Sons Ltd","LoO 07/0817 PPD","2007","18,918.00","2014","10,601.76","BT45 5RZ","P1","£ 47,296.00","The company has identified the opportunity to develop a range of new products using bamboo fabrics as an alternative to traditional cotton fabrics.      Fabrics made from bamboo fibres are a relatively new development in the textile industry. They have advantages over cotton in that they are 4 times more absorbent, and have natural antimicrobial and deodorant properties. They also have excellent elasticity, drapability, and wearability characteristics.     Bamboo is the fastest growing plant in the world, is 100% sustainable and thrives naturally without the need for artificial fertilisers or pesticides. This, coupled with its antimicrobial properties gives bamboo the advantage of being perceived as being “environmentally friendly”.     During the project, the company will concentrate mainly on materials for curtain linings and bed wear, however they hope to eventually develop materials for other end uses, including medical products, which would benefit from the natural antibacterial properties of the material."
"Drilling & Pumping Supplies Ltd","LoO 07/0368 PPD","2007","7,920.00","2015","7,920.00","BT23 4YH","P1","£ 19,800.00","This proposal relates to two areas. The first is the improvement for manufacture of a permanent wheel washing station for lorrys and other large vehicles.  The Company provides permanent, drive through, installations for quarries and refuse sites (see picture below). This has been an ad-hoc development and with competition there is a need to revisit the design and manufacture of this & to remain competitive and  ensure ease of installation.  The second area relates to the development of a portable system which is an opportunity to move into new markets e.g. construction sites that are not permanent but can still create contamination of roads, particularly in residential areas."
"Turkington Engineering Ltd","LoO 07/0281 PPD","2007","11,692.00","2014","11,692.00","BT80 9AY","P1","£ 29,231.00","The aim of this 7 - 8 month project is to investigate the technical and economic feasibility of converting amended poultry litter into fuel pellets that can be burned in domestic and commercial scale pellet boilers. If successful the company intends to manufacture pellets on an industrial scale at another site which has yet to be identified an existing farm yard has been proposed by the company."
"Fearghas Quinn T/a Feaghas Quinn Hearses & Limousines","LoO 07/0646 PPD","2007","13,720.00","2014","13,680.00","BT44 8EF","P1","£ 40,488.00","•Design & develop an affordable hearse based on the new Ford Mondeo model by end March 2008. This product will be targeted at the small rural undertaker and capable to be loaded by a single person.  •Design & develop brackets to hold roof rails for a range of hearse models. FQ currently has a one year supply of brackets and cannot source a cost effective supplier of similar products at the low volume he uses.  •Establish cumulative sales of 27 of the new Ford Mondeo hearse by YE May 2010.  •Secure at least 60% of sales of the new Ford Mondeo hearse from the RoI market."
"JSR Technology Ltd","LoO 07/1017 PPD","2008","30,488.00","","22,758.00","BT51 4JL","P1","£ 76,220.00","SiteBook.net is a booking and admin system for caravan/camping parks aimed mainly at easing the daily stress currently experienced by Park Managers and staff. The Company indicates that other software solutions currently on the market are CD based and require installation and training.  SiteBook is hosted entirely online and is accessible from any internet connection worldwide.  A new park can be set up in 15 minutes and customised to the owners requirements with minimal /no assistance or training.  Since sitebook is online it has been designed to be multi-user and multi-park, allowing a single user to manage multiple parks from any internet enabled PC.      The product has been designed and created by the promoter, but it requires further development following beta testing at Blairs Caravan Park in Portrush. The product requires development to include all the existing features of competitor’s products.  Since SiteBook is online, this could well pose a challenge.  Difficult and innovative features will include Gate and Barrier control, Interactive Park Mapping, Sage integration, Speed of booking chart, drag and drop of bookings auto mail-shot functions and tag printing."
"McGirr Engineering Limited","LoO 07/0963 PPD","2008","34,610.00","2014","34,610.00","BT79 9EJ","P1","£ 86,525.00","This project will involve the full design, manufacture and testing of a new block turnover machine to rotate concrete blocks through 900 from the vertical to horizontal position following their manufacture in the block yard. This is to allow the blocks to be stacked in a safer configuration before being strapped and dispatched."
"Lisburn City Council","Competitive Edge Programme","2008","55,125.00","2015","54,674.99","","P2","£ 119,250.00","3.	The project aims to convey the benefits and importance of a structured and planned approach to sales and marketing activities; provide participants with skills and techniques required to increase their market profile and / or effectively target, enter and develop sales and long-term business relationships in new markets; and raise the capacity of participant companies to generate new business and provide initial practical support to participant companies in the generation of this new business.    4.	It will be delivered through two distinct elements:    Sales Development – Targeting owners and managers from growth orientated small businesses in the LCC area. It will aim to assist participant companies to develop new sales opportunities, improve their approach to marketing to increase their long-term sustainability. There will be opportunities, in agreement with Invest NI for participating companies to attend Invest NI workshops which are held on developing sales capability.    Supply Chain Management – Assisting clients to gain an understanding of how the supply chain influences every aspect of business operations and the importance and benefits of streamlining and reviewing business systems and processes on a continuous basis.    The project aims to provide information seminars and consultancy support engaging with 36 companies over a 3 year period. The applicant has identified quantitative outcome targets relating to creation and safeguarding of jobs, cost efficiencies and increased sales but in the current economic climate, these outcomes are considered to be ambitious. However the wider benefits of the project in terms of building management capability and raising awareness of export opportunities is likely to deliver productivity improvements in the longer term. Whilst it is recognised that the current economic conditions may result in a delay in achieving some of the performance targets, the programme will help those businesses supported to position themselves appropriately to take advantage of the upturn when it comes."
"P M Fireplaces Ltd","LoO 07/BIA/15","2008","30,000.00","2015","29,406.97","BT70 1TB","P1","£ 90,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Lisburn City Council","International Competitiveness Programme","2008","79,462.50","2016","79,462.00","","P2","£ 176,925.00","3.	The International Competitiveness Programme is a 3 year project that will assist 42 local companies who have an interest in exploring / developing new business opportunities in a new international market, with the expectation that new strategic business linkages / partnerships are identified which result in new business for participant companies.  The programme will provide companies with the skills and expertise to undertake business research in these markets, develop sales and marketing skills to target new customers in the markets and identify and target new business opportunities for exporting.    4.	The programme which seeks to increase sales through export development and increase domestic competitiveness, productivity and efficiency aims to achieve the following outcomes:      	Support given to 42 suitable, local companies through the Programme;  	Facilitation of up to 6 successful market visits to a new international market; and  	10 new Invest NI clients become actively engaged in the Programme."
"Lisburn City Council","Innovation Networks Programme","2008","79,200.00","2016","78,702.07","","P2","£ 180,000.00","3.	Innovation Networks is a three year programme that will place innovation and research at the core of local business development activity and develop strategic innovation partnerships between businesses located in Lisburn and higher education and research centres.  The programme has three phases: Innovation Development Programme, Innovation Networks and Commercialising R&D;, and aims to achieve the following outcomes:    	6 Innovation Roadshows to Local Business Centres and Industrial Estates;  	45 Business & Innovation Technology Audits carried out;  	36 companies recruited and participate in new and existing business networks;  	30 new projects identified and progressed;  	30 new commercial opportunities identified and progressed;  	30 businesses signposted and achieving further areas of innovation support and funding (Invest NI Innovation Vouchers Scheme, KTP’s, SMART & COMPETE AWARD);  	36 businesses made aware of opportunities for interaction and collaboration with universities;  	6 commercialising Research & Innovation awareness seminars held;  	15 student placements identified; and  	10 new Invest NI clients become actively engaged."
"Moy Park (Dungannon) Ltd","LoO 07/BIA/17","2007","23,000.00","2015","11,500.00","BT63 5QE","P1","£ 69,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Springfarm Architectural Mouldings Ltd","LoO 08/BIA/02","2008","40,000.00","2015","36,458.34","BT41 2DU","P1","£ 150,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Lagan Technologies Ltd","LoO 08/BIA/08","2008","40,000.00","2015","31,903.23","BT3 9ED","P1","£ 135,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Chimetechnology Ltd","LoO 07/0231 PPD","2007","32,616.00","2014","2,360.00","BT93 5FY","P1","£ 81,540.00","The application refers to the development of a multipurpose casting mould system for th econstruction industry.  The systems is suitable for new and existing houses."
"Creative Composites Ltd","LoO 08/BIA/16","2008","32,200.00","2015","25,344.10","","P1","£ 96,600.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Coleraine Borough Council","Think BIG Programme","2008","49,687.50","2015","48,316.45","","P2","£ 102,700.00","The Think Big Programme comprises four sector specific elements: Think Sales; Think Food; Think IT and Think Rural Manufacturing which aim to work with existing companies to develop their capabilities, knowledge and skill sets whilst focusing on developing and increasing sales and reducing costs."
"Northern Hydraulics Ltd","LoO 08/BIA/15","2008","35,000.00","2015","27,924.67","BT71 4QG","P1","£ 105,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Belfast City Council","Stepping Stones to Success","2008","53,175.00","2015","28,036.22","","P2","£ 129,950.00","The Stepping Stone to Success Programme is aimed at assisting the profitable growth of the micro-business sector in Belfast through intervention from specialists from the further and higher education sector. The programme will aim to assist manufacturing micro-businesses who are currently not eligible for Invest NI support to bridge the technology competency gap and to provide them with an initiation into innovation.    The programme objective is to develop a sustainable culture of innovation in the micro- business participants and will provide ‘face to face’ contact with experienced professionals who can advise on routes to innovative solutions specifically tailored to the needs of the individual participants. Each participating business will be provided with an innovation assessment and matched with the appropriate academic in the faculty related to their sector or specific issues. Additionally, the participants will be provided with support from Belfast Metropolitan College to develop a business plan which will have innovation embedded as a key principle."
"Belfast City Council","Business Development Initiative","2008","72,500.00","2015","67,488.89","","P2","£ 154,000.00","3.	The Business Development Initiative is a 2 year programme comprised of 3 sub-programmes:    Strategy in Business (SIB) – Through this initiative participants will develop a strategy for moving their business forward through profitable growth, by increasing their ability to think strategically and make coherent plans for the future.  The programme will evaluate the current position of each participating business and identify changes needed to achieve growth. It will focus upon developing the capacity of the business to become better prepared to adapt to ever changing market conditions.    Sales Growth Programme (SGP) – Through this programme participating companies will learn how to identify and take advantage of market opportunities, source new customers, and utilize sales tools and techniques to increase their sales effectiveness.  Participants will also develop two year sales development action plans as a means of creating a more structured, focused and proactive approach to developing new business.    Franchise Your Business (FYBP) - This programme provides support to participants to help them understand the opportunities that exist in franchising, gearing their business up and developing systems and procedures that allow the business to be replicated in a franchise format.  The objectives of this programme are to improve participant’s competitiveness and profitability by developing their business through franchising and to assist them in developing business processes and systems to gear them up towards franchising."
"Turkington Engineering Ltd","LoO 08/BIA/14","2008","33,000.00","2015","15,399.00","BT80 9AY","P1","£ 105,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Cookstown District Council","Engineering Innovation Programme","2008","45,750.00","2015","43,779.39","","P2","£ 91,500.00","The proposed project aims to adopt a sectoral based approach to support 12 local engineering businesses in the  Cookstown District Council area within the micro/small business sector. The aim is to help them implement a range of  innovative processes into their business to assist in increasing their profitability and efficiency. In the long term, the  project promoters (Cookstown District Council) expect that it will prepare a number of businesses to become Invest NI  clients. The following paragraphs outline the strategic context in which the project fits."
"Ards Borough Council","Castle Espie Limekiln Observatory","2008","105,000.00","2015","105,000.00","BT23 4AP","P2","£ 420,000.00","This programme is a partnership project between Ards Borough Council, the Wildfowl & Wetlands Trust (WWT), the Heritage Lottery Fund and private investors. The aim is to establish a flagship eco-tourism and built heritage initiative on the shores of Strangford Lough, which will provide a year-round facility for observing Strangford Lough and its wildlife, in a way that complements the industrial heritage of the site. The project combines a conservation and environmental heritage capital project with a commensurate focus on tourism and encouraging economic development.    Castle Espie has already sourced funds for the overall “Regeneration of Castle Espie” project, from both NITB (£210,000) and the Heritage Lottery Fund (£2.96million). This application is specific to the development of the Limekiln Observatory (not currently included), as a contemporary visitor attraction derived from the former limekiln itself providing an iconic focal point for Castle Espie and Strangford Lough. The project aims to achieve the following objectives:    •	To integrate the development into the natural ecosystem.  •	Provide a year round facility for a growing tourism market of highly mobile, high spending individuals.  •	The project will showcase the wider other tourism offerings in surrounding areas creating a hub of coastal and countryside activity to draw visitors to the area;  •	Form a key aspect in Castle Espie’s marketing strategy to ensure that target visitor numbers and private hire (especially weekend and evening hire with emphasis on the wedding and corporate markets) is achieved; attracting an additional 500,000 visitors to the area over the  a three year period;  •	Promote an educational and interpretation area which will be benchmarked at national and international levels.  •	Make a substantial contribution towards sustaining 30 existing jobs;  •	Generate an income in year of £35k through direct hire for groups and for events, rising to £55,000 by year three;  •	Ancillary spend in areas like new shops and cafes rising from £300,000 to £700,000 per annum, principally through local sourcing;  •	Increase the length of stay by one third and thereby increasing secondary spend by 20%.  •	Employment of 15 full time workers during construction.  •	Employ 10 staff during the renovation works of the interpretation and Observatory element of the work."
"SEED - Down District Council","SEED Food and Fisheries Programme","2008","93,250.00","2015","93,249.97","","P2","£ 200,025.00","The Food and Fisheries Programme is a 2 year programme to assist local food and service providers. The aim is to aid  the development of new quality products and to assist local companies to do the same. Assistance will also be given to  companies to investigate new markets and to identify collaborative opportunities in production, storage, distribution  and marketing. The Programme intends to build sustainable networks and clusters for future competitive advantage. In  addition, support will be given to local restauraNteurs, hotels and tourism facilities to take advantage of quality local  produce and promote healthy high quality and sustainable eating in the area."
"Dungannon and South Tyrone Borough Council","Innovation and Creativity Programme","2008","81,000.00","2016","59,692.22","","P2","£ 182,000.00","The proposed Innovation and Creativity Programme is aimed at mid-range businesses which have demonstrated the  potential to grow or innovate. The programme aims to assist the private sector in the Dungannon and South Tyrone  Borough Council (the Council) area to grow and become more competitive through being more innovative. The  Programme aims to support 25 local enterprises over a two-year period with the Council targeting companies that have  been established more than three years but are not Invest-NI clients."
"Dungannon and South Tyrone Borough Council","Enterprise Tourism Programme","2008","55,000.00","2015","54,999.94","","P2","£ 110,000.00","The Enterprise (Tourism) Programme is a continuation of a joint programme between the  project promoters, who are Dungannon and South Tyrone Borough Council (the Council);  and Flavour of Tyrone which has been in operation from 2002-2008 which aims to  develop local tourism businesses through achieving growth and becoming more  competitive."
"Radius Plastics Ltd","LoO 08/BIA/17","2008","30,000.00","2015","11,250.00","BT32 3QD","P1","£ 90,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Belfast City Council","Enterprise Plan","2008","114,750.00","2015","99,525.79","","P2","£ 249,500.00","Objectives  The Enterprise Plan aims to stimulate enterprise culture, enterprise education and enterprise creation through a varied range of programmes. This plan will be geared towards the instilling an entrepreneurial attitude and facilitating new business growth on a city-wide basis. Special emphasis is placed on groups identified in the Global Entrepreneurship Study for Belfast and in creating an enhanced and coordinated enterprise delivery service for Belfast.  1.	Enterprise Outreach  a.	Enterprise Outreach Sessions – The outreach service will provide 10 advice, introduction to business and ideas generation sessions in communities throughout Belfast. Outreach is provided locally and incorporates local business role models and support agencies.   b.	Student Business Bootcamp – This challenging and innovative programme is aimed at 20 students from Belfast Metropolitan College. Students will be encouraged to explore their business capabilities, be inspired by role models and undertake business development workshops to develop their ideas.     2.	Enterprise Awareness  a.	Points of Presence Advice Service – This service works hand in hand with Invest NI with the aim of promoting entrepreneurship, providing sign posting for businesses and start ups and providing advice. The service will be expanded from the Belfast City Council Advice Centre out into the community, e.g. Grove Leisure Centre.   b.	Young Enterprise Primary Programme – Belfast City Council aims to instill the spirit of entrepreneurship and economic literacy at an early age. This programme will fund a staff member at Young Enterprise to target 3,000 Primary School pupils in disadvantaged areas across the city with a structured programme looking at the role business plays in society.   c.	European Day of the Entrepreneur – This conference aims to stimulate entrepreneurship and encourage businesses to develop and to look at new markets.    3.	Enterprise Promotion  a.	Enterprise Events - Belfast City Council aim to target groups identified in the GEM report with potential for business start. As a result a series of events will be held including a Doing Business in Belfast event for migrants and Final year/Graduates into Business event.  4.	Enterprise Development  a.	Belfast Entrepreneurs Network - BEN is a networking and discussion forum for small businesses in Belfast with 350 current members. Twelve networking events and workshops will be held with the aim of fostering market opportunities and aid small business development.  b.	Northern Ireland Science Park CONNECT – The frameworks programme will facilitate 10 events for Start-up entrepreneurs, Venture community and Promising Venture.  c.	Pre-Enterprise Programme – This programme is aimed at 25 participants across Belfast and will incorporate ideas generation, ‘seeing is believing’ sessions, local business role models and business planning and development.   d.	Global Entrepreneurship Monitor – The GEM report established the need for the enterprise work under taken by Belfast City Council and enables the targeting of initiatives.   e.	Business Needs Analysis – This work provides an overview of the business needs in Belfast which informs decision making to tailor programmes.   Target Groups  The Enterprise Plan aims to provide all citizens of Belfast with access to starting your own business with particular focus on groups highlighted in the Global Entrepreneurship Monitor and in Belfast City Council’s strategy to ensure inclusive economic development across each area of the city: Young people including school pupils and students, In-migrants (including those returning to Belfast from abroad), minority groups, graduates, women and those living in areas of social deprivation/neighbourhood renewal areas.  Coverage  The Enterprise Plan will cover the Belfast City Council area although outside businesses will be able to attend BEN and the European Day of the Entrepreneur.   Partnerships  Belfast City Council places emphasis on the provision of an integrated enterprise provision in Belfast and as a result works in partnership with a wide network of business support and other agencies including: Invest NI, BCC Enterprise steering group, Local Economic Development Forum, Young Enterprise NI, Advantage NI, Belfast Metropolitan College, Local Enterprise Network, NICENT, NISP, QUB, UU, Local Area Partnership Boards, Eurocities and BCC Community Centres and other departments.   NTSN  This programme will be targeted in all 12 neighbourhood renewal areas in Belfast. Belfast as the largest settlement in Northern Ireland also rates top on most of the TSN indicators.   Outputs  1.	Enterprise Outreach  a.	Enterprise Outreach Sessions – Provide 10 advice, introduction to business and ideas generation sessions in the community throughout Belfast.   b.	Student Business Bootcamp – 20 students from Belfast Metropolitan College to complete programme.     2.	Enterprise Awareness  a.	Points of Presence Advice Service – Provide service at Belfast City Council Advice Centre out into the community, e.g. Grove Leisure Centre.   b.	Young Enterprise Primary Programme – Provide programme for 3,000 Primary School pupils in disadvantaged areas across the city.  c.	European Day of the Entrepreneur – Attract at least 100 business people and potential entrepreneurs to this conference.   3.	Enterprise Promotion  a.	Enterprise Events – Provide 3 enterprise events to target markets including migrants and final year students/graduates.   4.	Enterprise Development  a.	Belfast Entrepreneurs Network (BEN) – Provide 6 networking events and 6 workshops.  b.	Northern Ireland Science Park Events – Provide 10 Framework, Springboard & Evening Series Events.  c.	Pre-Enterprise Programme: Recruit 25 participants from across Belfast, Provide a minimum of 4 business skills development sessions; Provide a minimum of 2 seeing is believing events; Deliver a minimum of 9 hours mentoring per participant; Arrange a networking event for participants to the programme; Minimum of 5 participants to join Invest NI’s pipeline of support  d.	Global Entrepreneurship Monitor – Produce Belfast Boost of the GEM report by July 2009.  e.	Business Needs Analysis – Produce Business Needs Analysis Report by March 2009   Results  •	15 new business starts  •	5 new products and services developed by supported enterprises  •	Increase in turnover by supported enterprise £300,000  •	15 jobs created  •	20 participants to complete Student Business Bootcamp  •	3,000 pupils from disadvantaged areas to complete YENI Primary Programme  •	Facilitate 6 networking events and 6 networking workshops  •	100 participants to take part in European Day of the Entrepreneur"
"Belfast City Council","World Trade Centre Belfast","2008","105,687.50","2015","48,760.98","","P2","£ 226,625.00","3.	The World Trade Centre Project is comprised of 6 sub-programmes. In addition to these elements the project promoters will seek to use the global WTC network to attract international financial investment for local innovative, technology focused businesses therefore supporting the growth of our knowledge based economy. A brief synopsis of the sub programmes is outlined below:    	WTC Belfast Membership & Global Gateway Service –This programme will run from  Jan 09 – Mar 2011and will provide a Global Gateway Service to member companies throughout Northern Ireland. Local companies will access better export market information and international business contacts with potential customers, investors, suppliers and business partners. This assistance will support the development of a more globally focused entrepreneurial culture, especially amongst new and small 	companies and will lead to more companies identifying and winning new business in export markets. The service hopes to recruit 200 member companies.    WTC Belfast Global Business Workshops– WTC Belfast Global Business Workshops will provide practical and relevant information with regards to global trade practices. The topics covered will address relevant global trade issues not currently available to companies in 	NI. The workshops will develop the export capabilities of companies, in particular inexperienced and early stage exporters. Focus will be made on ICT and SCM topics which are very relevant to trading internationally. 4 workshops will be delivered in the period 08/09 and 09/10. 10 companies will be recruited onto each workshop.    WTC Belfast Development Programmes - WTC Belfast will deliver a Global Supply Chain Management (SCM) programme and a Channel Development Clinic (CDC). These business development programmes will focus on supporting micro and small companies which can not access this level of support elsewhere. Participation in these programmes will help companies improve their global competitiveness. 1 Channel development Clinic will be delivered in 09/10 along with 1 Global Supply Chain Management Programme. 10 companies will be recruited onto each programme.    WTC Trade Mission - WTC Belfast will host a trade mission, coordinated with another arm of the WTC organisation, based elsewhere. Trade mission provide a low risk method for small companies to explore new export markets, make new contacts and win new export business.    	WTC Belfast Breakfast series - WTC Belfast networking events will enable local export 	focused companies to share knowledge and facilitate business collaboration and 	commercial 	partnerships with a view to expanding their businesses globally. 5 such networking events will  take place over the 08/09 to 09/10 periods.     	WTC Belfast Investor Gateway Service – This programme aims to promote Belfast as an ideal  inward 	investment location and to provide information services to potential investors. This   support will be delivered from January 09 – March 2011 and will target 30 potential investors."
"Sepha Ltd","LoO 08/BIA/18","2008","28,000.00","2015","28,000.00","BT16 1QQ","P1","£ 84,000.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
"Sean Nugent Engineering Ltd","LoO 08/BIA/12","2008","27,700.00","2015","27,700.00","BT70 2PN","P1","£ 83,100.00","The proposed is to appoint a Business Improvement Agent to manage the implementation of the continuous within the company to increase its capability to compete in the market, to manage the change in working practices and to have the most appropriate world class techniques introduced to ensure the continued competitiveness of the plant."
